step,reward,actor_loss,critic_loss,hypergradient,final_product,cosine_similarities
1,29.701494216918945,-0.011723022907972336,0.03928090259432793,0.18055856227874756,2.7462468210615043e-07,-0.6267139911651611
2001,35.07272720336914,-0.011714516207575798,0.08930366486310959,0.08517038077116013,1.4288170291365532e-07,-0.3520176410675049
4001,35.599998474121094,-0.01009024865925312,0.11469227075576782,0.14429663121700287,4.273689739875408e-07,-0.9627624750137329
6001,34.10344696044922,-0.022429730743169785,0.26114124059677124,0.13550196588039398,1.9130041550852184e-07,-0.8385635614395142
8001,42.106380462646484,-0.01883445866405964,0.34968751668930054,0.1087883934378624,1.2154730200109043e-07,-0.16585950553417206
10001,40.79591751098633,-0.03168737143278122,0.43511661887168884,0.19731588661670685,1.7523620954307262e-07,-0.7616254091262817
12001,39.31999969482422,-0.027287019416689873,0.52040696144104,0.14927704632282257,3.706070970110886e-07,-0.9393677711486816
14001,53.64864730834961,-0.020587682723999023,0.4475862383842468,0.08218751847743988,4.3871571620002214e-07,0.08728514611721039
16001,50.256412506103516,-0.02465890720486641,0.5248303413391113,0.11719221621751785,4.3134855332027655e-07,-0.3347131907939911
18001,55.97142791748047,-0.023755859583616257,0.557974636554718,0.10241726785898209,3.1009059853204235e-07,-0.8174933791160583
20001,49.974361419677734,-0.03406031057238579,0.6294788122177124,0.12332191318273544,6.505626402031339e-07,-0.7544807195663452
22001,57.05882263183594,-0.027143258601427078,0.8188182711601257,0.10051953792572021,8.463362064503599e-07,-0.18390676379203796
24001,63.48386764526367,-0.03747342899441719,0.6941231489181519,0.1416834145784378,1.32985894651938e-06,-0.6847171783447266
26001,58.79411697387695,-0.02596772089600563,0.8984504342079163,0.08928316831588745,9.410904908691009e-07,-0.7244571447372437
28001,62.3125,-0.033114586025476456,0.8861539959907532,0.11020772904157639,6.283330549194943e-07,-0.6112319827079773
30001,77.36000061035156,-0.03433903679251671,0.6594794988632202,0.14121869206428528,1.351147034256428e-06,-0.9336285591125488
32001,80.79167175292969,-0.018432997167110443,0.6926648020744324,0.13750159740447998,1.5914429241092876e-06,-0.9083623886108398
34001,75.61538696289062,-0.03962429240345955,0.8351017236709595,0.11516862362623215,1.1114915423604543e-06,-0.5419578552246094
36001,89.68182373046875,-0.0282870102673769,0.6903093457221985,0.10883501917123795,1.6328220908690128e-06,0.009622199460864067
38001,83.0434799194336,-0.02317497693002224,0.8524930477142334,0.07993443310260773,1.4955052165532834e-06,-0.802609384059906
40001,97.70000457763672,-0.02861712872982025,0.42825305461883545,0.19797596335411072,1.3897883945901413e-06,-0.7858438491821289
42001,104.44444274902344,-0.030817687511444092,0.7721893787384033,0.08363094925880432,1.598432618266088e-06,-0.7186316251754761
44001,111.35294342041016,-0.03750486671924591,1.0123060941696167,0.11243931204080582,1.216570694850816e-06,-0.5811158418655396
46001,127.20000457763672,-0.01696527749300003,0.5479753613471985,0.20007281005382538,2.773136884570704e-06,-0.8517182469367981
48001,129.85714721679688,-0.017996765673160553,0.8929611444473267,0.10397776961326599,2.4622925138828577e-06,-0.7716343998908997
50001,126.53334045410156,-0.028110608458518982,1.1007883548736572,0.1387294977903366,1.8526799976825714e-05,-0.9704694151878357
52001,133.85714721679688,-0.015669232234358788,0.6458128690719604,0.07927387952804565,2.295121475981432e-06,-0.7908163666725159
54001,153.25,-0.018274685367941856,0.7500671744346619,0.07348071783781052,2.5339028070447966e-05,-0.7740697264671326
56001,153.6923065185547,-0.024442894384264946,0.8930901288986206,0.1681145280599594,1.796845936041791e-05,-0.9645802974700928
58001,161.0,-0.030414918437600136,0.8222536444664001,0.24301451444625854,3.777542588068172e-05,-0.9442567825317383
60001,183.8000030517578,-0.006759956479072571,0.5045236945152283,0.0501788966357708,9.723475159262307e-06,-0.5216010212898254
62001,150.3076934814453,-0.01318851113319397,0.5477603077888489,0.11024010926485062,4.310139047447592e-06,-0.5755174160003662
64001,209.55555725097656,-0.02361050434410572,0.7111688852310181,0.11712338030338287,2.666351974767167e-05,-0.9631696343421936
66001,181.1999969482422,-0.05994023010134697,0.5734040141105652,0.15487177670001984,1.1160192116221879e-05,-0.968604326248169
68001,226.875,-0.020585717633366585,0.8720083236694336,0.053499575704336166,2.512929313525092e-05,-0.4086529612541199
70001,189.8000030517578,-0.015809426084160805,0.6490164995193481,0.08899770677089691,1.686667928879615e-05,-0.20378939807415009
72001,249.1428680419922,-0.03508168086409569,0.25162190198898315,0.09497587382793427,0.00010030142584582791,-0.11801175028085709
74001,219.875,-0.038844309747219086,0.798479437828064,0.10268418490886688,1.710494325379841e-05,-0.2746697962284088
76001,236.125,-0.01640959084033966,0.4250039756298065,0.07975256443023682,1.7730622857925482e-05,-0.4299542009830475
