step,reward,actor_loss,critic_loss
1,-210.6666717529297,-0.008505911566317081,1.024321436882019
2001,-193.7777862548828,-0.007582715712487698,1.0107131004333496
4001,-203.3333282470703,-0.01838630996644497,1.0072661638259888
6001,-180.4545440673828,-0.012488259933888912,1.0126943588256836
8001,-206.11111450195312,0.008170138113200665,1.0228677988052368
10001,-209.7777862548828,-0.004591606557369232,1.0439889430999756
12001,-208.7777862548828,-0.0036607657093554735,1.0615532398223877
14001,-241.625,-0.016718605533242226,1.0894169807434082
16001,-292.3333435058594,-0.043923355638980865,1.1049031019210815
18001,-317.3333435058594,-0.025791211053729057,1.176531434059143
20001,-392.20001220703125,-0.039112940430641174,1.199811339378357
22001,-467.75,-0.049325037747621536,1.1839205026626587
24001,-469.25,-0.017886830493807793,1.3683838844299316
26001,-500.0,-0.06292285770177841,1.1434122323989868
28001,-500.0,-0.10638170689344406,1.0890495777130127
30001,-500.0,-0.10781699419021606,1.0811767578125
32001,-500.0,-0.16267640888690948,1.0543831586837769
34001,-500.0,-0.2125546634197235,1.0182543992996216
36001,-500.0,-0.2558632791042328,1.0497088432312012
38001,-500.0,-0.2483813315629959,1.0296217203140259
40001,-500.0,-0.30674731731414795,1.0315954685211182
42001,-500.0,-0.2983206808567047,1.02461838722229
44001,-500.0,-0.2543773055076599,1.0369194746017456
46001,-500.0,-0.24186201393604279,1.0368077754974365
48001,-500.0,-0.2208436280488968,1.0307561159133911
50001,-500.0,-0.17164170742034912,1.0469121932983398
52001,-500.0,-0.17879445850849152,1.0466105937957764
54001,-500.0,-0.18604455888271332,1.0405148267745972
56001,-500.0,-0.130320742726326,1.0820133686065674
58001,-500.0,-0.12310966849327087,1.0587013959884644
60001,-500.0,-0.12690109014511108,1.1928068399429321
62001,-500.0,-0.12697166204452515,1.132587194442749
64001,-500.0,-0.07381186634302139,1.1961785554885864
66001,-500.0,-0.09196237474679947,1.256905436515808
68001,-500.0,-0.07758647203445435,1.3277738094329834
70001,-500.0,-0.03358561545610428,1.638071060180664
72001,-500.0,-0.023815052583813667,1.4016445875167847
74001,-500.0,-0.05978374928236008,1.5208340883255005
76001,-500.0,-0.0500982291996479,1.7051175832748413
78001,-500.0,-0.03889423981308937,1.7427564859390259
80001,-500.0,-0.02154540829360485,2.047790765762329
82001,-500.0,-0.024130135774612427,2.218309164047241
84001,-500.0,-0.024753941223025322,2.246095895767212
86001,-500.0,-0.025815309956669807,2.5385704040527344
88001,-500.0,-0.019861407577991486,2.7129123210906982
90001,-500.0,-0.033122409135103226,3.19413685798645
92001,-500.0,-0.013858399353921413,3.4986732006073
94001,-500.0,-0.005959215108305216,4.004136085510254
96001,-500.0,-0.006178790703415871,4.400330066680908
98001,-500.0,-0.005410764832049608,5.072751045227051
100001,-500.0,-0.0017630263464525342,5.733670711517334
