step,reward,actor_loss,critic_loss,hypergradient,final_product,cosine_similarities
1,-500.0,-0.006809569429606199,0.042033422738313675,0.08264181762933731,0.17534679174423218,1.0
2001,-500.0,-0.0026500169187784195,0.06816049665212631,0.09426284581422806,0.18578217923641205,1.0
4001,-500.0,-0.011883240193128586,0.055710677057504654,0.0733400508761406,0.1493052840232849,0.9999999403953552
6001,-500.0,-0.0011694508139044046,0.03968333080410957,0.10031761229038239,0.13656477630138397,1.0
8001,-500.0,0.0004825668584089726,0.08868426829576492,0.047133639454841614,0.08853662759065628,1.0
10001,-500.0,0.0001038589543895796,0.13950254023075104,0.14976195991039276,0.29070067405700684,1.0
12001,-500.0,-5.3258900152286515e-05,0.17465294897556305,0.07853082567453384,0.1614503562450409,0.9999998807907104
14001,-500.0,-0.00019878674356732517,0.17638342082500458,0.0411318838596344,0.08503828197717667,1.000000238418579
16001,-500.0,0.00500296987593174,0.18785542249679565,0.03308142349123955,0.07199199497699738,1.0
18001,-500.0,0.005663410294800997,0.2221912443637848,0.04739079251885414,0.10350596159696579,1.0000001192092896
20001,-500.0,-0.000923610758036375,0.22944651544094086,0.04497753456234932,0.08977018296718597,1.0
22001,-500.0,0.0009138718014582992,0.2826414406299591,0.05414297804236412,0.11799125373363495,1.0000001192092896
24001,-500.0,-0.0011523151770234108,0.3237888216972351,0.029025357216596603,0.06898132711648941,1.0000001192092896
26001,-500.0,-0.0023748017847537994,0.3758167028427124,0.03894811496138573,0.0814334973692894,1.0000001192092896
28001,-500.0,-0.00221143732778728,0.43803706765174866,0.03206042945384979,0.07459309697151184,1.0000001192092896
30001,-500.0,-0.0017534905346110463,0.47496742010116577,0.032204557210206985,0.07994479686021805,0.9999999403953552
32001,-500.0,0.014633811078965664,0.5543686747550964,0.03649434074759483,0.13753251731395721,1.0000001192092896
34001,-500.0,-0.00219330214895308,0.5562926530838013,0.027477169409394264,0.06481879949569702,0.9999998211860657
36001,-500.0,0.0057960511185228825,0.5529892444610596,0.034039560705423355,0.08367947489023209,1.000000238418579
38001,-500.0,0.001274969195947051,0.5822431445121765,0.04196205735206604,0.0996614620089531,1.0
40001,-500.0,-0.0072100358083844185,0.6407332420349121,0.04334978014230728,0.11112412810325623,1.0
42001,-500.0,-0.0006051311502233148,0.7269960641860962,0.05177268758416176,0.11594343930482864,1.0
44001,-500.0,0.0024570543318986893,0.8113123774528503,0.051333796232938766,0.12554386258125305,1.000000238418579
46001,-500.0,0.0008414688636548817,0.8597635626792908,0.024366267025470734,0.06546870619058609,1.0000001192092896
48001,-500.0,-0.002208232879638672,1.0072071552276611,0.022907622158527374,0.10065548866987228,1.0
50001,-500.0,-0.002323465421795845,1.0240182876586914,0.018725384026765823,0.013184261508286,1.0000001192092896
52001,-500.0,-0.0006626167451031506,1.1872220039367676,0.011301802471280098,0.02087327651679516,1.0000001192092896
54001,-500.0,-0.0016161137027665973,1.2348244190216064,0.009142722003161907,0.019851235672831535,1.0
56001,-500.0,5.2743915148312226e-05,1.2865265607833862,0.01962486281991005,0.05753239989280701,1.0
58001,-500.0,0.005723778158426285,1.3854329586029053,0.18666879832744598,0.2667778432369232,0.9999999403953552
60001,-500.0,0.004734066314995289,1.4148298501968384,0.01251991093158722,0.06161008030176163,0.9999999403953552
62001,-500.0,0.006226810626685619,1.5418568849563599,0.1973581612110138,0.2414802610874176,1.0
64001,-500.0,0.0018201867351308465,1.4984380006790161,0.012925741262733936,0.05482632294297218,1.0
66001,-500.0,0.00341545301489532,1.5633594989776611,0.059130001813173294,0.09657569229602814,0.9999999403953552
68001,-500.0,0.002065969631075859,1.7154842615127563,0.004925007466226816,0.030423671007156372,1.0000001192092896
70001,-500.0,0.0005225105560384691,1.6997696161270142,0.019395912066102028,0.09308992326259613,0.9999998807907104
72001,-500.0,-0.0028825951740145683,1.7450629472732544,0.03518572077155113,0.10019043833017349,0.9999999403953552
74001,-500.0,-0.00501314178109169,1.9165037870407104,0.039469290524721146,0.10714457929134369,1.0000001192092896
