step,reward,actor_loss,critic_loss,hypergradient,final_product,cosine_similarities
1,-210.6666717529297,-0.06238177791237831,0.061095401644706726,0.11594050377607346,0.00031227339059114456,-0.47211194038391113
2001,-186.3000030517578,-0.06363166868686676,0.08594555407762527,0.10097800195217133,1.7956323063117452e-05,-0.31864145398139954
4001,-204.22222900390625,-0.08681724965572357,0.08126338571310043,0.11030321568250656,6.29765127087012e-05,0.6738026142120361
6001,-194.8000030517578,-0.11796301603317261,0.10475651919841766,0.1516098529100418,6.031541124684736e-05,-0.6346055865287781
8001,-208.44444274902344,-0.08057563006877899,0.17293070256710052,0.093469999730587,0.00019168700964655727,0.5541374683380127
10001,-160.8181915283203,-0.09425049275159836,0.25559261441230774,0.13748043775558472,8.579439599998295e-05,-0.27835196256637573
12001,-159.0,-0.10046163201332092,0.19680365920066833,0.13443127274513245,9.748851880431175e-05,0.23262491822242737
14001,-153.6666717529297,-0.08574975281953812,0.29350993037223816,0.08922047913074493,0.00030558579601347446,0.023907417431473732
16001,-144.1538543701172,-0.11018703132867813,0.33117592334747314,0.13010361790657043,0.0001368448865832761,-0.6173616647720337
18001,-138.71429443359375,-0.10111209005117416,0.41399085521698,0.07837928086519241,0.0006702294922433794,0.6321130394935608
20001,-142.23077392578125,-0.11059544235467911,0.39182722568511963,0.07563892751932144,0.0001378675806336105,-0.5848647356033325
22001,-158.0,-0.13146255910396576,0.4220520853996277,0.13357415795326233,8.597402484156191e-05,-0.06267175078392029
24001,-136.0,-0.10132051259279251,0.44363242387771606,0.07725953310728073,0.0006319184321910143,-0.3065233826637268
26001,-142.92308044433594,-0.1074361577630043,0.43017256259918213,0.0764482170343399,0.0003232674498576671,-0.3347517251968384
28001,-131.71429443359375,-0.09242013841867447,0.49327608942985535,0.08770723640918732,0.00031401775777339935,-0.6072323322296143
30001,-129.53334045410156,-0.0859558954834938,0.5913631916046143,0.0847984254360199,0.00025251274928450584,0.07475089281797409
32001,-124.80000305175781,-0.12107546627521515,0.8387864828109741,0.08568309992551804,0.0006352548953145742,0.2769020199775696
34001,-141.2857208251953,-0.08255302906036377,1.0230833292007446,0.08407367765903473,0.0015296307392418385,0.7652507424354553
36001,-118.375,-0.08082025498151779,0.846311628818512,0.09154598414897919,0.0007069329149089754,0.7654442191123962
38001,-126.20000457763672,-0.12537844479084015,0.7320801019668579,0.08416950702667236,0.0002199936716351658,-0.6335233449935913
40001,-120.53334045410156,-0.11855461448431015,0.9289586544036865,0.06137143075466156,0.0004287192423362285,-0.2555254101753235
42001,-118.375,-0.12365361303091049,0.9871332049369812,0.06817726045846939,0.000638486526440829,-0.31464067101478577
44001,-105.83333587646484,-0.09919486194849014,0.9385924935340881,0.08944205194711685,0.0003296273644082248,-0.18019986152648926
46001,-119.3125,-0.1285047084093094,1.1566296815872192,0.07398883998394012,0.0018262561643496156,0.7011709213256836
48001,-108.44444274902344,-0.11829708516597748,1.0777137279510498,0.07707497477531433,0.0007887983811087906,-0.2772102355957031
50001,-112.17646789550781,-0.13319051265716553,1.2507814168930054,0.05127650871872902,0.0008648752700537443,-0.3894365727901459
52001,-109.66666412353516,-0.14602115750312805,1.6764318943023682,0.12824784219264984,0.0008271149126812816,-0.23633787035942078
54001,-147.4615478515625,-0.04055837541818619,1.6734646558761597,0.04921437054872513,0.007183467503637075,-0.5765795111656189
56001,-107.3888931274414,-0.12096737325191498,1.197569489479065,0.05153414607048035,0.0020319046452641487,0.116539865732193
58001,-113.23529815673828,-0.14959506690502167,1.35359525680542,0.08666770160198212,0.0016395680140703917,-0.6868645548820496
60001,-112.17646789550781,-0.10686182230710983,1.4388020038604736,0.06157211586833,0.0012334244092926383,0.38303980231285095
