global step=38816, episodic return=500.0
global step=39764, episodic return=500.0
global step=39904, episodic return=500.0
global step=40128, episodic return=448.0
global step=40816, episodic return=500.0
global step=41132, episodic return=251.0
global step=41144, episodic return=310.0
global step=41168, episodic return=351.0
global step=42816, episodic return=500.0
global step=43132, episodic return=500.0
global step=43144, episodic return=500.0
global step=43168, episodic return=500.0
global step=43916, episodic return=275.0
global step=44420, episodic return=313.0
global step=45132, episodic return=500.0
global step=45144, episodic return=500.0
global step=45916, episodic return=500.0
global step=46420, episodic return=500.0
global step=47132, episodic return=500.0
global step=47144, episodic return=500.0
global step=47916, episodic return=500.0
global step=48420, episodic return=500.0
global step=49132, episodic return=500.0
global step=49144, episodic return=500.0
global step=49284, episodic return=216.0
global step=49916, episodic return=500.0
global step=50996, episodic return=463.0
global step=51132, episodic return=500.0
global step=51284, episodic return=500.0
global step=51916, episodic return=500.0
global step=52996, episodic return=500.0
global step=53132, episodic return=500.0
global step=53284, episodic return=500.0
global step=53916, episodic return=500.0
global step=54996, episodic return=500.0
global step=55132, episodic return=500.0
global step=55284, episodic return=500.0
global step=55916, episodic return=500.0
global step=56996, episodic return=500.0
global step=57132, episodic return=500.0
global step=57284, episodic return=500.0
global step=57916, episodic return=500.0
global step=58996, episodic return=500.0
global step=59132, episodic return=500.0
global step=59284, episodic return=500.0
global step=59916, episodic return=500.0
global step=60996, episodic return=500.0
global step=61132, episodic return=500.0
global step=61284, episodic return=500.0
global step=61916, episodic return=500.0
global step=62996, episodic return=500.0
global step=63132, episodic return=500.0
global step=63284, episodic return=500.0
global step=63916, episodic return=500.0
global step=64996, episodic return=500.0
global step=65132, episodic return=500.0
global step=65284, episodic return=500.0
global step=65916, episodic return=500.0
global step=66996, episodic return=500.0
global step=67132, episodic return=500.0
global step=67284, episodic return=500.0
global step=67916, episodic return=500.0
global step=68644, episodic return=378.0
global step=68788, episodic return=448.0
global step=69284, episodic return=500.0
global step=69916, episodic return=500.0
global step=70256, episodic return=403.0
global step=70788, episodic return=500.0
global step=71068, episodic return=446.0
global step=71860, episodic return=486.0
global step=72256, episodic return=500.0
global step=72788, episodic return=500.0
global step=73068, episodic return=500.0
global step=73860, episodic return=500.0
global step=74256, episodic return=500.0
global step=74788, episodic return=500.0
global step=75068, episodic return=500.0
global step=75860, episodic return=500.0
global step=76256, episodic return=500.0
global step=76788, episodic return=500.0
global step=77068, episodic return=500.0
global step=77860, episodic return=500.0
global step=78244, episodic return=497.0
global step=78788, episodic return=500.0
global step=79068, episodic return=500.0
global step=79860, episodic return=500.0
global step=80244, episodic return=500.0
global step=80788, episodic return=500.0
global step=81068, episodic return=500.0
global step=81496, episodic return=107.0
global step=81860, episodic return=500.0
global step=82244, episodic return=500.0
global step=82788, episodic return=500.0
global step=83496, episodic return=500.0
global step=83860, episodic return=500.0
global step=84088, episodic return=148.0
global step=84144, episodic return=475.0
global step=84788, episodic return=500.0
global step=85860, episodic return=500.0
global step=86088, episodic return=500.0
global step=86144, episodic return=500.0
global step=86788, episodic return=500.0
global step=87860, episodic return=500.0
global step=88088, episodic return=500.0
global step=88144, episodic return=500.0
global step=88788, episodic return=500.0
global step=89860, episodic return=500.0
global step=90088, episodic return=500.0
global step=90144, episodic return=500.0
global step=90788, episodic return=500.0
global step=91860, episodic return=500.0
global step=92088, episodic return=500.0
global step=92144, episodic return=500.0
global step=92788, episodic return=500.0
global step=93860, episodic return=500.0
global step=94088, episodic return=500.0
global step=94144, episodic return=500.0
global step=94788, episodic return=500.0
global step=95860, episodic return=500.0
global step=96088, episodic return=500.0
global step=96144, episodic return=500.0
global step=96788, episodic return=500.0
global step=97860, episodic return=500.0
global step=98088, episodic return=500.0
global step=98144, episodic return=500.0
global step=98788, episodic return=500.0
global step=99860, episodic return=500.0
global step=100088, episodic return=500.0
global step=100144, episodic return=500.0
global step=100788, episodic return=500.0
global step=101860, episodic return=500.0
global step=102088, episodic return=500.0
global step=102144, episodic return=500.0
global step=102788, episodic return=500.0
global step=103860, episodic return=500.0
global step=104088, episodic return=500.0
global step=104144, episodic return=500.0
global step=104788, episodic return=500.0
global step=105860, episodic return=500.0
global step=106088, episodic return=500.0
global step=106144, episodic return=500.0
global step=106788, episodic return=500.0
global step=107860, episodic return=500.0
global step=108088, episodic return=500.0
global step=108144, episodic return=500.0
global step=108788, episodic return=500.0
global step=109860, episodic return=500.0
global step=110088, episodic return=500.0
global step=110144, episodic return=500.0
global step=110788, episodic return=500.0
global step=111860, episodic return=500.0
global step=112088, episodic return=500.0
global step=112144, episodic return=500.0
global step=112788, episodic return=500.0
global step=113596, episodic return=363.0
global step=113860, episodic return=500.0
global step=114088, episodic return=500.0
global step=114560, episodic return=175.0
global step=114788, episodic return=500.0
global step=115596, episodic return=500.0
global step=116088, episodic return=500.0
global step=116560, episodic return=500.0
global step=116788, episodic return=500.0
global step=117596, episodic return=500.0
global step=118088, episodic return=500.0
global step=118560, episodic return=500.0
global step=118788, episodic return=500.0
global step=119596, episodic return=500.0
global step=120088, episodic return=500.0
global step=120560, episodic return=500.0
global step=120788, episodic return=500.0
global step=121596, episodic return=500.0
global step=122088, episodic return=500.0
global step=122560, episodic return=500.0
global step=122788, episodic return=500.0
global step=123596, episodic return=500.0
global step=124088, episodic return=500.0
global step=124560, episodic return=500.0
global step=124788, episodic return=500.0
global step=125596, episodic return=500.0
global step=126088, episodic return=500.0
global step=126560, episodic return=500.0
global step=126788, episodic return=500.0
global step=127596, episodic return=500.0
global step=128088, episodic return=500.0
global step=128560, episodic return=500.0
global step=128788, episodic return=500.0
global step=129596, episodic return=500.0
global step=130088, episodic return=500.0
global step=130560, episodic return=500.0
global step=130788, episodic return=500.0
global step=131596, episodic return=500.0
global step=132088, episodic return=500.0
global step=132560, episodic return=500.0
global step=132788, episodic return=500.0
global step=133596, episodic return=500.0
global step=134088, episodic return=500.0
global step=134560, episodic return=500.0
global step=134788, episodic return=500.0
global step=135596, episodic return=500.0
global step=136088, episodic return=500.0
global step=136560, episodic return=500.0
global step=136788, episodic return=500.0
global step=137408, episodic return=212.0
global step=137596, episodic return=500.0
global step=138088, episodic return=500.0
global step=138788, episodic return=500.0
global step=139408, episodic return=500.0
global step=139596, episodic return=500.0
global step=140088, episodic return=500.0
global step=140788, episodic return=500.0
global step=141408, episodic return=500.0
global step=141596, episodic return=500.0
global step=142088, episodic return=500.0
global step=142788, episodic return=500.0
global step=143408, episodic return=500.0
global step=143596, episodic return=500.0
global step=144088, episodic return=500.0
global step=144788, episodic return=500.0
global step=145408, episodic return=500.0
global step=145596, episodic return=500.0
global step=146088, episodic return=500.0
global step=146788, episodic return=500.0
global step=147408, episodic return=500.0
global step=147596, episodic return=500.0
global step=148088, episodic return=500.0
global step=148788, episodic return=500.0
global step=149408, episodic return=500.0
global step=149596, episodic return=500.0
global step=150088, episodic return=500.0
global step=150788, episodic return=500.0
global step=151408, episodic return=500.0
global step=151596, episodic return=500.0
global step=152088, episodic return=500.0
global step=152788, episodic return=500.0
global step=153408, episodic return=500.0
global step=153596, episodic return=500.0
global step=154088, episodic return=500.0
global step=154788, episodic return=500.0
global step=155408, episodic return=500.0
global step=155596, episodic return=500.0
global step=156088, episodic return=500.0
global step=156788, episodic return=500.0
global step=157408, episodic return=500.0
global step=157596, episodic return=500.0
global step=158088, episodic return=500.0
global step=158788, episodic return=500.0
global step=159408, episodic return=500.0
global step=159596, episodic return=500.0
global step=160088, episodic return=500.0
global step=160788, episodic return=500.0
global step=161408, episodic return=500.0
global step=161596, episodic return=500.0
global step=162088, episodic return=500.0
global step=162788, episodic return=500.0
global step=163408, episodic return=500.0
global step=163596, episodic return=500.0
global step=164088, episodic return=500.0
global step=164788, episodic return=500.0
global step=165408, episodic return=500.0
global step=165596, episodic return=500.0
global step=166088, episodic return=500.0
global step=166608, episodic return=300.0
global step=166788, episodic return=500.0
global step=167596, episodic return=500.0
global step=168088, episodic return=500.0
global step=168608, episodic return=500.0
global step=168788, episodic return=500.0
global step=169596, episodic return=500.0
global step=170088, episodic return=500.0
global step=170608, episodic return=500.0
global step=170788, episodic return=500.0
global step=171596, episodic return=500.0
global step=172088, episodic return=500.0
global step=172608, episodic return=500.0
global step=172788, episodic return=500.0
global step=173596, episodic return=500.0
global step=174088, episodic return=500.0
global step=174608, episodic return=500.0
global step=174788, episodic return=500.0
global step=175596, episodic return=500.0
global step=176088, episodic return=500.0
global step=176608, episodic return=500.0
global step=176788, episodic return=500.0
global step=177596, episodic return=500.0
global step=178088, episodic return=500.0
global step=178608, episodic return=500.0
global step=178788, episodic return=500.0
global step=179596, episodic return=500.0
global step=180088, episodic return=500.0
global step=180608, episodic return=500.0
global step=180788, episodic return=500.0
global step=181596, episodic return=500.0
global step=182088, episodic return=500.0
global step=182608, episodic return=500.0
global step=182788, episodic return=500.0
global step=183596, episodic return=500.0
global step=184088, episodic return=500.0
global step=184608, episodic return=500.0
global step=184788, episodic return=500.0
global step=185596, episodic return=500.0
global step=186088, episodic return=500.0
global step=186608, episodic return=500.0
global step=186788, episodic return=500.0
global step=187596, episodic return=500.0
global step=188088, episodic return=500.0
global step=188608, episodic return=500.0
global step=188788, episodic return=500.0
global step=189596, episodic return=500.0
global step=190088, episodic return=500.0
global step=190608, episodic return=500.0
global step=190788, episodic return=500.0
global step=191596, episodic return=500.0
global step=192088, episodic return=500.0
global step=192608, episodic return=500.0
global step=192788, episodic return=500.0
global step=193596, episodic return=500.0
global step=194088, episodic return=500.0
global step=194608, episodic return=500.0
global step=194788, episodic return=500.0
global step=195596, episodic return=500.0
global step=196088, episodic return=500.0
global step=196608, episodic return=500.0
global step=196788, episodic return=500.0
global step=197596, episodic return=500.0
global step=198088, episodic return=500.0
global step=198608, episodic return=500.0
global step=198788, episodic return=500.0
global step=199596, episodic return=500.0
global step=200088, episodic return=500.0
global step=200608, episodic return=500.0
global step=200788, episodic return=500.0
global step=201596, episodic return=500.0
global step=202088, episodic return=500.0
global step=202608, episodic return=500.0
global step=202788, episodic return=500.0
global step=203596, episodic return=500.0
global step=204088, episodic return=500.0
global step=204608, episodic return=500.0
global step=204788, episodic return=500.0
global step=205456, episodic return=212.0
global step=205596, episodic return=500.0
global step=206088, episodic return=500.0
global step=206788, episodic return=500.0
global step=207456, episodic return=500.0
global step=207596, episodic return=500.0
global step=208088, episodic return=500.0
global step=208788, episodic return=500.0
global step=209456, episodic return=500.0
global step=209596, episodic return=500.0
global step=210088, episodic return=500.0
global step=210788, episodic return=500.0
global step=210968, episodic return=378.0
global step=211596, episodic return=500.0
global step=212088, episodic return=500.0
global step=212788, episodic return=500.0
global step=212968, episodic return=500.0
global step=213596, episodic return=500.0
global step=214088, episodic return=500.0
global step=214788, episodic return=500.0
global step=214968, episodic return=500.0
global step=215596, episodic return=500.0
global step=216088, episodic return=500.0
global step=216788, episodic return=500.0
global step=216968, episodic return=500.0
global step=217596, episodic return=500.0
global step=218088, episodic return=500.0
global step=218788, episodic return=500.0
global step=218968, episodic return=500.0
global step=219596, episodic return=500.0
global step=220088, episodic return=500.0
global step=220788, episodic return=500.0
global step=220968, episodic return=500.0
global step=221596, episodic return=500.0
global step=222088, episodic return=500.0
global step=222788, episodic return=500.0
global step=222968, episodic return=500.0
global step=223596, episodic return=500.0
global step=224088, episodic return=500.0
global step=224788, episodic return=500.0
global step=224968, episodic return=500.0
global step=225596, episodic return=500.0
global step=226088, episodic return=500.0
global step=226788, episodic return=500.0
global step=226968, episodic return=500.0
global step=227596, episodic return=500.0
global step=228088, episodic return=500.0
global step=228788, episodic return=500.0
global step=228968, episodic return=500.0
global step=229596, episodic return=500.0
global step=230088, episodic return=500.0
global step=230196, episodic return=27.0
global step=230440, episodic return=211.0
global step=230788, episodic return=500.0
global step=230968, episodic return=500.0
global step=232196, episodic return=500.0
global step=232440, episodic return=500.0
global step=232788, episodic return=500.0
global step=232968, episodic return=500.0
global step=234196, episodic return=500.0
global step=234440, episodic return=500.0
global step=234788, episodic return=500.0
global step=234968, episodic return=500.0
global step=236196, episodic return=500.0
global step=236440, episodic return=500.0
global step=236788, episodic return=500.0
global step=236968, episodic return=500.0
global step=238196, episodic return=500.0
global step=238440, episodic return=500.0
global step=238788, episodic return=500.0
global step=238968, episodic return=500.0
global step=239264, episodic return=119.0
global step=239656, episodic return=365.0
global step=240440, episodic return=500.0
global step=240968, episodic return=500.0
global step=241264, episodic return=500.0
global step=241656, episodic return=500.0
global step=242440, episodic return=500.0
global step=242476, episodic return=205.0
global step=242968, episodic return=500.0
