step,reward,actor_loss,critic_loss
1,-0.004530000034719706,-0.0068703265860676765,0.00019435388094279915
2001,-0.0045900000259280205,-0.015836864709854126,9.444820898352191e-05
4001,-0.0005050003528594971,0.006940653081983328,0.00033318414352834225
6001,-0.004294999875128269,-0.004308952484279871,2.7249721824773587e-05
8001,-0.00446499977260828,-0.013112735003232956,5.6831020629033446e-05
10001,-0.00034999969648197293,0.001520767342299223,0.00023637145932298154
12001,-0.004235000349581242,0.00834715086966753,1.2005162716377527e-05
14001,-0.004404999781399965,-0.003341261064633727,0.00011891845497302711
16001,-0.004234999883919954,-0.04037465155124664,2.237342414446175e-06
18001,-0.0003000003343913704,0.0005241890321485698,0.00027597867301665246
20001,-0.0002749999985098839,-0.0002063713181996718,6.995119474595413e-05
22001,-0.004184999968856573,-0.06225200369954109,1.4880407661621575e-06
24001,-3.5000564821530133e-05,0.0005076027009636164,6.08150839980226e-05
26001,-0.004064999986439943,0.0034517261665314436,0.0003698070941027254
28001,0.00012999988393858075,0.003998300526291132,0.0003297494840808213
30001,-0.003919999580830336,-0.0007287245243787766,6.267154822126031e-05
32001,-0.003920000046491623,-0.002148265717551112,0.00010109342110808939
34001,-0.0035600000992417336,-0.12458758801221848,1.1795336831710301e-06
36001,-0.0036849998869001865,-0.15058600902557373,8.67789651692874e-07
38001,-0.0036650002002716064,-0.004582195542752743,4.664102380047552e-05
40001,-0.003365000244230032,-0.15451472997665405,5.91004663874628e-07
42001,-0.003594999900087714,-0.035168033093214035,1.2889121535408776e-05
44001,-0.003435000078752637,-0.07490868121385574,3.9673259379924275e-06
46001,-0.0034149999264627695,-0.17137357592582703,1.2057580534019507e-06
48001,-0.0032450000289827585,-0.23744331300258636,9.003728678180778e-07
50001,-0.0031500000040978193,-0.2504429221153259,9.279502251047234e-07
52001,-0.0030300000216811895,-0.2802336513996124,1.0182743608311284e-06
54001,-0.002940000267699361,-0.2895524501800537,1.0133129535461194e-06
56001,-0.0029150000773370266,-0.315137654542923,1.0437115633976646e-06
58001,-0.0026650000363588333,-0.334459125995636,9.637309403842664e-07
60001,-0.0024649996776133776,-0.3477240204811096,9.458936460760015e-07
62001,-0.0025300001725554466,-0.382904052734375,8.871986665326403e-07
64001,-0.002205000026151538,-0.40399813652038574,8.666051485306525e-07
66001,-0.0020349998958408833,-0.42820894718170166,7.739715783827705e-07
68001,-0.0016450000694021583,-0.4191872179508209,6.178835860737308e-07
70001,-0.0016850000247359276,-0.4640439748764038,6.221499120329099e-07
72001,-0.0014399999054148793,-0.48318979144096375,5.619110652332893e-07
74001,-0.0013450001133605838,-0.5073946118354797,5.303829766489798e-07
76001,-0.001180000021122396,-0.5135034918785095,4.23541138161454e-07
78001,-0.0010149999288842082,-0.5186004638671875,3.675038158235111e-07
80001,-0.001115000108256936,-0.5766539573669434,3.700961883623677e-07
82001,-0.0009000000427477062,-0.5661951899528503,2.911779120040592e-07
84001,-0.0006600000197067857,-0.5183343291282654,2.045882041556979e-07
86001,-0.0006100000464357436,-0.5119970440864563,1.8299883208783285e-07
88001,-0.000539999979082495,-0.504440426826477,1.6492585075411625e-07
90001,-0.00043999997433274984,-0.49108201265335083,1.4354441191244405e-07
92001,-0.00039999998989515007,-0.49920889735221863,1.2409566352289403e-07
94001,-0.00032500000088475645,-0.4738885164260864,1.0237156544690151e-07
96001,-0.00030999997397884727,-0.5074551701545715,9.209941964627433e-08
98001,-0.00020000000949949026,-0.3969789743423462,4.967598599137091e-08
100001,-0.00016999999934341758,-0.38792580366134644,5.051119345012012e-08
102001,-0.00011000000813510269,-0.33346226811408997,3.5138114640176354e-08
104001,-9.999999747378752e-05,-0.3234529495239258,2.8554635989053168e-08
106001,-5.5000004067551345e-05,-0.22593757510185242,1.647293679241102e-08
108001,-7.499999628635123e-05,-0.29337078332901,2.168969714944069e-08
110001,-4.999999873689376e-05,-0.25140252709388733,1.5604928904622284e-08
112001,-5.5000004067551345e-05,-0.3163818418979645,1.4926634150924656e-08
114001,-4.0000002627493814e-05,-0.2550923824310303,9.57094936637759e-09
116001,-3.000000106112566e-05,-0.2238776981830597,6.230191917921957e-09
118001,-2.0000001313746907e-05,-0.17584723234176636,4.060555003349009e-09
