step,reward,actor_loss,critic_loss
1,-0.004530000034719706,-0.0068603442050516605,0.0001940969959832728
2001,-0.0045900000259280205,-0.01573353447020054,0.00010000594920711592
4001,-0.0005050003528594971,0.006699136458337307,0.00033011677442118526
6001,-0.004289999604225159,-0.0026801645290106535,2.7235711968387477e-05
8001,-0.00446499977260828,-0.01450662687420845,5.9459751355461776e-05
10001,-0.00034999969648197293,0.001243766862899065,0.00023099230020307004
12001,-0.004230000078678131,0.006853033322840929,1.3032520655542612e-05
14001,-0.004419999662786722,-0.0038760225288569927,0.00012066402268828824
16001,-0.004234999883919954,-0.00831824541091919,3.9614819797861855e-06
18001,-0.00030500031425617635,0.0023270570673048496,0.000279110943665728
20001,-0.0002749999985098839,0.0002831659512594342,6.517699512187392e-05
22001,-0.0042050001211464405,-0.0979313850402832,1.1179744205946918e-06
24001,-5.0000191549770534e-05,-0.0008491544867865741,7.191843906184658e-05
26001,-0.004089999943971634,0.0028995650354772806,0.00033903573057614267
28001,8.499991963617504e-05,0.005264437757432461,0.00033837708178907633
30001,-0.003964999690651894,-0.0012025434989482164,6.442605081247166e-05
32001,-0.003955000080168247,-0.0015288196736946702,9.21883838600479e-05
34001,-0.0036100000143051147,-0.12219534814357758,8.582554755776073e-07
36001,-0.003710000077262521,-0.13930745422840118,8.613693580628023e-07
38001,-0.003705000039190054,-0.00012607766257133335,6.862630107207224e-05
40001,-0.0033950002398341894,-0.10506383329629898,8.200063348340336e-07
42001,-0.003659999929368496,-0.013271362520754337,2.4175225917133503e-05
44001,-0.0035050001461058855,-0.03171708062291145,7.672014362469781e-06
46001,-0.003484999993816018,-0.0770784243941307,2.2470505882665748e-06
48001,-0.0033100000582635403,-0.12317939102649689,1.1807372857219889e-06
50001,-0.0032500000670552254,-0.18671546876430511,7.416574590024538e-07
52001,-0.0031500000040978193,-0.20626577734947205,8.319981361637474e-07
54001,-0.0030950000509619713,-0.2106565684080124,8.78104970070126e-07
56001,-0.003065000055357814,-0.22234457731246948,8.639519819553243e-07
58001,-0.002830000128597021,-0.23515979945659637,7.744436629764095e-07
60001,-0.0026599999982863665,-0.24232599139213562,7.923566158751782e-07
62001,-0.002675000112503767,-0.26321107149124146,7.178739451774163e-07
64001,-0.002384999766945839,-0.28022146224975586,6.740016260664561e-07
66001,-0.002254999941214919,-0.3016176223754883,5.858347549292375e-07
68001,-0.0018599999602884054,-0.3041123151779175,5.179670097277267e-07
70001,-0.001879999996162951,-0.3287805914878845,5.100501425658877e-07
72001,-0.0016349999932572246,-0.3255135118961334,4.5654996938537806e-07
74001,-0.001550000044517219,-0.3178538978099823,4.269795397249254e-07
76001,-0.0013849999522790313,-0.35816386342048645,4.242715760938154e-07
78001,-0.0012600000482052565,-0.3807342052459717,4.022440123208071e-07
80001,-0.0013049999251961708,-0.4251868724822998,3.7931332030893827e-07
82001,-0.0010550000006332994,-0.4110511541366577,3.1668628253100906e-07
84001,-0.0008200000156648457,-0.37021496891975403,2.591891927750112e-07
86001,-0.0007400000467896461,-0.41126465797424316,2.4041591473178414e-07
88001,-0.000645000021904707,-0.4080711305141449,2.0166709191471455e-07
90001,-0.000539999979082495,-0.4300861060619354,1.7159891285700724e-07
92001,-0.0004749999789055437,-0.41606655716896057,1.3391499464887602e-07
94001,-0.0003800000122282654,-0.4126545786857605,1.0598490973734442e-07
