global step=67109, episodic return=561.1676025390625
global step=67624, episodic return=696.0819702148438
global step=67931, episodic return=442.0029602050781
global step=68472, episodic return=710.7000122070312
global step=68827, episodic return=497.0935363769531
global step=69147, episodic return=476.8962707519531
global step=69522, episodic return=524.6256713867188
global step=69881, episodic return=505.1007995605469
global step=70251, episodic return=544.8778686523438
global step=70531, episodic return=406.8722839355469
global step=70879, episodic return=503.1019287109375
global step=71250, episodic return=523.47802734375
global step=71842, episodic return=710.5715942382812
global step=72162, episodic return=476.0986328125
global step=72511, episodic return=470.67840576171875
global step=72842, episodic return=476.518310546875
global step=73165, episodic return=480.9727478027344
global step=73493, episodic return=484.3892822265625
global step=73841, episodic return=500.4640808105469
global step=74159, episodic return=479.29052734375
global step=74515, episodic return=495.6730041503906
global step=74886, episodic return=539.2525634765625
global step=75329, episodic return=583.6758422851562
global step=75637, episodic return=457.9745178222656
global step=75980, episodic return=487.2523193359375
global step=76300, episodic return=463.8963623046875
global step=76582, episodic return=434.3311462402344
global step=76929, episodic return=494.7028503417969
global step=77276, episodic return=502.91094970703125
global step=77648, episodic return=517.698974609375
global step=77990, episodic return=489.0892333984375
global step=78323, episodic return=493.0596008300781
global step=78642, episodic return=472.5068359375
global step=78966, episodic return=478.0653991699219
global step=79300, episodic return=501.791015625
global step=79686, episodic return=531.1583251953125
global step=80026, episodic return=497.92529296875
global step=80363, episodic return=504.67059326171875
global step=80671, episodic return=460.5531921386719
global step=81058, episodic return=537.449951171875
global step=81355, episodic return=444.2793884277344
global step=81655, episodic return=458.95660400390625
global step=81961, episodic return=479.9026184082031
global step=82264, episodic return=463.41815185546875
global step=82692, episodic return=517.2195434570312
global step=83033, episodic return=491.25140380859375
global step=83360, episodic return=491.2383117675781
global step=83678, episodic return=472.5904541015625
global step=83978, episodic return=465.5158996582031
global step=84285, episodic return=467.6703186035156
global step=84592, episodic return=462.20068359375
global step=84965, episodic return=531.3042602539062
global step=85253, episodic return=410.7598571777344
global step=85563, episodic return=467.5113220214844
global step=85866, episodic return=455.9412841796875
global step=86151, episodic return=436.17474365234375
global step=86472, episodic return=495.6116638183594
global step=86796, episodic return=509.2608947753906
global step=86992, episodic return=298.725341796875
global step=87188, episodic return=286.99542236328125
global step=87452, episodic return=413.3428955078125
global step=87757, episodic return=449.91815185546875
global step=88087, episodic return=498.8746643066406
global step=88391, episodic return=460.88116455078125
global step=88685, episodic return=444.1516418457031
global step=88994, episodic return=464.23089599609375
global step=89279, episodic return=446.73876953125
global step=89589, episodic return=472.8751525878906
global step=89897, episodic return=467.7722473144531
global step=90196, episodic return=464.2713317871094
global step=90553, episodic return=544.27880859375
global step=90876, episodic return=482.4750671386719
global step=91168, episodic return=440.5205383300781
global step=91489, episodic return=482.9022216796875
global step=91876, episodic return=561.6970825195312
global step=92181, episodic return=474.1190490722656
global step=92492, episodic return=480.4557189941406
global step=92845, episodic return=525.6847534179688
global step=93239, episodic return=583.4651489257812
global step=93598, episodic return=527.6024780273438
global step=93974, episodic return=557.2297973632812
global step=94311, episodic return=521.9530029296875
global step=94653, episodic return=525.832763671875
global step=94980, episodic return=521.7817993164062
global step=95303, episodic return=494.96282958984375
global step=95629, episodic return=497.31500244140625
global step=95947, episodic return=484.865966796875
global step=96274, episodic return=502.4703674316406
global step=96627, episodic return=526.0057373046875
global step=96967, episodic return=530.5714111328125
global step=97303, episodic return=507.7467346191406
global step=97669, episodic return=554.2174072265625
global step=98006, episodic return=500.1766052246094
global step=98473, episodic return=648.99609375
global step=98878, episodic return=601.0553588867188
global step=99249, episodic return=566.570068359375
global step=99626, episodic return=570.9780883789062
global step=100139, episodic return=745.5542602539062
global step=100532, episodic return=582.1814575195312
global step=100930, episodic return=602.2333374023438
global step=101264, episodic return=511.26629638671875
global step=101679, episodic return=613.0142822265625
global step=102049, episodic return=558.2026977539062
global step=102464, episodic return=622.1271362304688
global step=102861, episodic return=610.3341064453125
global step=103490, episodic return=872.9088134765625
global step=103869, episodic return=598.8845825195312
global step=104211, episodic return=546.4714965820312
global step=104688, episodic return=708.108642578125
global step=105688, episodic return=1261.3475341796875
