step,reward,actor_loss,critic_loss,hypergradient,final_product,cosine_similarities
1,17.339130401611328,0.09645579755306244,0.2516159415245056,0.0,0.0,0.0
2001,21.021053314208984,0.0703868642449379,0.472926527261734,0.0,0.0,0.0
4001,18.05555534362793,0.06928902119398117,1.0284154415130615,0.0,0.0,0.0
6001,20.905263900756836,0.0437300018966198,1.3145350217819214,0.0,0.0,0.0
8001,21.31182861328125,0.031215522438287735,1.3586316108703613,0.0,0.0,0.0
10001,22.77011489868164,0.031521935015916824,1.310292363166809,0.0,0.0,0.0
12001,22.735631942749023,0.019158311188220978,1.374772071838379,0.0,0.0,0.0
14001,24.04878044128418,0.005889630410820246,1.4732106924057007,0.0,0.0,0.0
16001,29.02985191345215,-0.0003056431014556438,1.5588657855987549,0.0,0.0,0.0
18001,28.242856979370117,-0.0038910219445824623,1.9679964780807495,0.0,0.0,0.0
20001,30.707693099975586,-0.008234611712396145,2.111300230026245,0.0,0.0,0.0
22001,32.68852615356445,-0.011335935443639755,2.567878484725952,0.0,0.0,0.0
24001,35.01754379272461,-0.01266119908541441,2.784715414047241,0.0,0.0,0.0
26001,32.650001525878906,-0.021783437579870224,2.9743313789367676,0.0,0.0,0.0
28001,36.07272720336914,-0.016377149149775505,3.2028019428253174,0.0,0.0,0.0
30001,38.30769348144531,-0.026306195184588432,2.8728766441345215,0.0,0.0,0.0
32001,38.6274528503418,-0.019512683153152466,3.264549493789673,0.0,0.0,0.0
34001,40.25,-0.02314627915620804,3.199352502822876,0.0,0.0,0.0
36001,45.595237731933594,-0.014227424748241901,2.972841262817383,0.0,0.0,0.0
38001,55.5428581237793,-0.022199543192982674,2.4584336280822754,0.0,0.0,0.0
40001,44.13333511352539,-0.031334757804870605,2.730286121368408,0.0,0.0,0.0
42001,52.999996185302734,-0.03938436135649681,2.4960927963256836,0.0,0.0,0.0
44001,52.58333206176758,-0.021547483280301094,2.4498112201690674,0.0,0.0,0.0
46001,41.89130401611328,-0.041613757610321045,2.850776195526123,0.0,0.0,0.0
48001,58.57575607299805,-0.03130508214235306,2.4550962448120117,0.0,0.0,0.0
50001,59.33333206176758,-0.03995309770107269,2.3128232955932617,0.0,0.0,0.0
52001,58.666664123535156,-0.03231555595993996,2.3085343837738037,0.0,0.0,0.0
54001,68.93103790283203,-0.02797114849090576,1.6020185947418213,0.0,0.0,0.0
56001,63.838706970214844,-0.027803296223282814,1.7117223739624023,0.0,0.0,0.0
58001,73.18518829345703,-0.02762645296752453,1.7502901554107666,0.0,0.0,0.0
60001,72.61538696289062,-0.037260446697473526,1.937527060508728,0.0,0.0,0.0
62001,72.62963104248047,-0.02737005054950714,1.7493056058883667,0.0,0.0,0.0
64001,140.7857208251953,-0.012176617048680782,1.568363070487976,0.0,0.0,0.0
66001,80.125,-0.04087412357330322,1.8469998836517334,0.0,0.0,0.0
68001,118.875,-0.0201573446393013,1.5686488151550293,0.0,0.0,0.0
70001,102.31578826904297,-0.03985949605703354,1.8103688955307007,0.0,0.0,0.0
72001,118.75,-0.03678039088845253,2.4128873348236084,0.0,0.0,0.0
74001,108.05555725097656,-0.03971434384584427,2.4787886142730713,0.0,0.0,0.0
76001,121.1875,-0.0335390642285347,3.1821606159210205,0.0,0.0,0.0
78001,180.9091033935547,-0.022611118853092194,2.728198528289795,0.0,0.0,0.0
80001,151.0,-0.027412431314587593,2.8906376361846924,0.0,0.0,0.0
82001,161.63636779785156,-0.024893132969737053,2.7813076972961426,0.0,0.0,0.0
84001,171.27273559570312,-0.0378795824944973,2.363435983657837,0.0,0.0,0.0
86001,219.0,-0.019614866003394127,3.1737024784088135,0.0,0.0,0.0
88001,183.3000030517578,-0.045395419001579285,2.8558101654052734,0.0,0.0,0.0
90001,250.57144165039062,-0.03196437284350395,2.341104030609131,0.0,0.0,0.0
92001,280.2857360839844,-0.025161808356642723,2.1024627685546875,0.0,0.0,0.0
94001,217.22222900390625,-0.024917056784033775,3.081099271774292,0.0,0.0,0.0
96001,172.5,-0.053375642746686935,2.828521728515625,0.0,0.0,0.0
98001,271.8571472167969,-0.012102398090064526,2.561802625656128,0.0,0.0,0.0
100001,208.55555725097656,-0.032629165798425674,2.854104518890381,0.0,0.0,0.0
102001,190.6999969482422,-0.02970540151000023,2.7454469203948975,0.0,0.0,0.0
104001,289.5,-0.02287451922893524,1.9424521923065186,0.0,0.0,0.0
106001,293.3333435058594,-0.013229329138994217,1.7785533666610718,0.0,0.0,0.0
108001,257.5714416503906,-0.02994030900299549,1.3432180881500244,0.0,0.0,0.0
110001,266.5714416503906,-0.020546188578009605,1.6565762758255005,0.0,0.0,0.0
112001,279.71429443359375,-0.017287686467170715,1.9378035068511963,0.0,0.0,0.0
114001,274.2857360839844,-0.02172911912202835,1.9459688663482666,0.0,0.0,0.0
116001,301.66668701171875,-0.0138667281717062,1.5997180938720703,0.0,0.0,0.0
118001,301.5,-0.00716947577893734,1.364898681640625,0.0,0.0,0.0
120001,335.20001220703125,-0.004414821974933147,2.179807424545288,0.0,0.0,0.0
122001,374.0,0.000941234640777111,1.546876072883606,0.0,0.0,0.0
124001,419.75,-0.02811003476381302,1.9710148572921753,0.0,0.0,0.0
126001,332.16668701171875,-0.008523937314748764,1.0497043132781982,0.0,0.0,0.0
128001,352.0,-0.007182108238339424,1.626024842262268,0.0,0.0,0.0
130001,338.20001220703125,-0.01959160342812538,1.7956907749176025,0.0,0.0,0.0
132001,361.8000183105469,-0.02601746842265129,2.7166924476623535,0.0,0.0,0.0
134001,374.6000061035156,-0.011577949859201908,3.1180758476257324,0.0,0.0,0.0
136001,476.75,-0.01996922865509987,2.157114267349243,0.0,0.0,0.0
