step,reward,actor_loss,critic_loss,hypergradient,final_product,cosine_similarities
1,24.575000762939453,-0.06086445972323418,0.2685820758342743,0.3516576886177063,4.047006950713694e-05,-0.05532712861895561
2001,27.63888931274414,0.0036089050117880106,0.22312381863594055,0.3584038317203522,4.339069164416287e-06,-0.372802734375
4001,27.44444465637207,0.02105766162276268,0.6192529797554016,0.23104867339134216,1.7557640603627078e-06,-0.7002808451652527
6001,25.227848052978516,0.031905293464660645,1.0429728031158447,0.16335059702396393,1.4803090380155481e-06,0.03694991022348404
8001,25.14102554321289,0.015185634605586529,1.3701374530792236,0.10830900818109512,1.9134427020617295e-06,-0.6701145768165588
10001,23.91566276550293,0.012981901876628399,1.6865038871765137,0.14775289595127106,1.4165698303258978e-06,0.25824373960494995
12001,23.903615951538086,0.011400794610381126,1.8108636140823364,0.05999729782342911,1.6842300283315126e-06,0.2036689668893814
14001,24.30487632751465,-0.004518616944551468,1.709207534790039,0.08328747749328613,4.2159199438174255e-06,0.6258816123008728
16001,24.259260177612305,0.002243599621579051,1.6961616277694702,0.0964408591389656,5.71578721064725e-06,0.8989520072937012
18001,24.13580322265625,0.0012264607939869165,1.5490455627441406,0.1280812919139862,9.752334335644264e-06,-0.06054046005010605
20001,25.96103858947754,-0.006599361076951027,1.5449219942092896,0.1806715428829193,2.500602204236202e-05,0.07364638894796371
22001,23.759037017822266,-0.005164501257240772,1.898106336593628,0.23092322051525116,1.849344334914349e-05,0.2278198003768921
24001,22.0,-0.008381766267120838,2.0338282585144043,0.24387045204639435,1.5345360225182958e-05,0.19748292863368988
26001,23.7261905670166,-0.011994807980954647,2.0247130393981934,0.3023679554462433,1.4297497727966402e-05,0.41199177503585815
28001,25.4743595123291,-0.03581387922167778,2.314288854598999,0.2539995014667511,1.7626194676267914e-05,0.6959399580955505
30001,23.819278717041016,-0.0353669635951519,2.2375612258911133,0.3013262152671814,1.47128648677608e-05,0.5878563523292542
32001,24.072290420532227,-0.03861795365810394,2.3996174335479736,0.30422651767730713,7.480104613932781e-06,-0.12747862935066223
34001,27.5,-0.050493594259023666,2.8097774982452393,0.28736186027526855,2.374624091316946e-05,-0.44900572299957275
36001,24.98750114440918,-0.04853107035160065,2.6672520637512207,0.3217666745185852,1.4752833521924913e-05,-0.2619350552558899
38001,24.98750114440918,-0.052479229867458344,3.088656425476074,0.28991398215293884,2.2454436475527473e-05,0.184225931763649
40001,28.63768196105957,-0.07215502858161926,3.0983407497406006,0.2992755174636841,1.473965858167503e-05,0.6193673610687256
42001,27.65277862548828,-0.05759859085083008,2.709115743637085,0.29705193638801575,1.229514782608021e-05,0.23448419570922852
44001,26.171052932739258,-0.04354165121912956,3.1400997638702393,0.35963472723960876,1.8402246496407315e-05,-0.09148278087377548
46001,29.16176414489746,-0.05879739671945572,3.466686248779297,0.28216657042503357,1.2314019841141999e-05,0.863806962966919
48001,26.767122268676758,-0.04938558116555214,3.201707124710083,0.33654236793518066,1.388195414619986e-05,0.035708941519260406
50001,25.763158798217773,-0.05430952087044716,3.0477399826049805,0.3358764946460724,4.619277660822263e-06,0.07773178815841675
52001,26.653331756591797,-0.05998276546597481,3.1738860607147217,0.3573627769947052,3.695866780617507e-06,-0.27062147855758667
54001,28.07042121887207,-0.06975981593132019,3.3627285957336426,0.2903892695903778,1.6005202269298024e-05,0.10675247758626938
56001,31.203125,-0.07226888090372086,3.286344289779663,0.2849268913269043,8.570127647544723e-06,0.54979407787323
58001,29.25,-0.061444781720638275,3.262176513671875,0.3308470547199249,1.468697973905364e-05,0.07256665825843811
60001,29.701494216918945,-0.07479500025510788,3.4105875492095947,0.3098301291465759,1.0014877261710353e-05,0.2825351059436798
62001,27.928571701049805,-0.060331378132104874,3.1005020141601562,0.37199848890304565,7.6116207310406025e-06,-0.6715039610862732
64001,31.95161247253418,-0.06500622630119324,3.7057623863220215,0.30837884545326233,1.2982489351998083e-05,0.6542148590087891
66001,32.08064270019531,-0.06130809336900711,3.977513551712036,0.3421775996685028,2.1854957594769076e-05,0.4508621096611023
68001,36.907405853271484,-0.042612556368112564,3.054239511489868,0.42226365208625793,2.7038717234972864e-05,0.3243885040283203
70001,33.25,-0.06944733113050461,3.4842798709869385,0.34023013710975647,1.4837007256573997e-05,0.08141208440065384
72001,30.646154403686523,-0.06530837714672089,3.0715835094451904,0.43585342168807983,1.8405087757855654e-05,-0.25851237773895264
74001,34.69643020629883,-0.07625550031661987,3.3047590255737305,0.3333183825016022,1.358978079224471e-05,0.29252907633781433
76001,34.596492767333984,-0.06438155472278595,3.5621161460876465,0.459695965051651,4.931856892653741e-05,-0.4560072720050812
78001,36.14814758300781,-0.0654880553483963,3.4035792350769043,0.4056302309036255,9.561615115671884e-06,0.5503853559494019
80001,37.660377502441406,-0.07869580388069153,3.2530083656311035,0.4189533591270447,2.7782192773884162e-05,0.08341405540704727
82001,44.35555648803711,-0.05773986130952835,3.00016713142395,0.5539628863334656,3.5808930988423526e-05,-0.1921568661928177
84001,39.28571319580078,-0.08443532884120941,3.444005250930786,0.4083942770957947,2.266997216793243e-05,0.8326876163482666
86001,35.45454406738281,-0.10489154607057571,3.5613062381744385,0.3926810920238495,1.290668296860531e-05,0.11295349895954132
88001,48.9487190246582,-0.06586172431707382,3.7177493572235107,0.48638153076171875,4.188506136415526e-05,0.8299135565757751
90001,39.540000915527344,-0.09834054112434387,3.728351354598999,0.5129166841506958,2.4840328478603624e-05,-0.4337426722049713
92001,47.6097526550293,-0.10760999470949173,3.5967965126037598,0.38619473576545715,9.07307185116224e-06,-0.2830817699432373
94001,46.32558059692383,-0.12375308573246002,3.9232800006866455,0.306989461183548,1.6072779544629157e-05,0.3660278916358948
96001,58.588233947753906,-0.0992816835641861,4.305141448974609,0.40163320302963257,3.9696667954558507e-05,0.46232283115386963
98001,58.909088134765625,-0.11367090046405792,3.951728343963623,0.4068765938282013,9.80461118160747e-05,-0.3338325321674347
100001,43.53333282470703,-0.14449931681156158,4.727364540100098,0.3662615716457367,2.855463753803633e-05,-0.1903856098651886
102001,48.780487060546875,-0.13902446627616882,4.359395503997803,0.4316766858100891,4.699762575910427e-05,-0.21220459043979645
