global step=12096, episodic return=75.09403991699219
global step=12128, episodic return=66.07050323486328
global step=12224, episodic return=66.19820404052734
global step=12320, episodic return=169.26150512695312
global step=12320, episodic return=233.95327758789062
global step=12544, episodic return=177.6111602783203
global step=12544, episodic return=33.660484313964844
global step=12544, episodic return=214.15725708007812
global step=12672, episodic return=28.003395080566406
global step=12672, episodic return=61.85774612426758
global step=12704, episodic return=38.263519287109375
global step=12928, episodic return=34.11503601074219
global step=12960, episodic return=322.9568176269531
global step=13024, episodic return=29.153045654296875
global step=13024, episodic return=34.69474792480469
global step=13024, episodic return=65.67422485351562
global step=13088, episodic return=83.32083892822266
global step=13216, episodic return=73.77457427978516
global step=13280, episodic return=33.25456619262695
global step=13440, episodic return=148.51174926757812
global step=13440, episodic return=172.59890747070312
global step=13440, episodic return=32.82096862792969
global step=13568, episodic return=131.12701416015625
global step=13728, episodic return=59.3552131652832
global step=13856, episodic return=60.007511138916016
global step=14048, episodic return=32.97428894042969
global step=14112, episodic return=250.68983459472656
global step=14272, episodic return=67.2443618774414
global step=14272, episodic return=31.848793029785156
global step=14304, episodic return=27.060667037963867
global step=14432, episodic return=22.632158279418945
global step=14496, episodic return=117.9398422241211
global step=14496, episodic return=25.323965072631836
global step=14592, episodic return=64.65481567382812
global step=14720, episodic return=72.58840942382812
global step=14752, episodic return=33.636417388916016
global step=14816, episodic return=79.7110366821289
global step=14944, episodic return=441.97314453125
global step=14944, episodic return=58.16294479370117
global step=15072, episodic return=175.70767211914062
global step=15168, episodic return=91.05197143554688
global step=15168, episodic return=85.47571563720703
global step=15360, episodic return=33.492576599121094
global step=15392, episodic return=22.891016006469727
global step=15520, episodic return=74.96636962890625
global step=15584, episodic return=99.24578094482422
global step=15744, episodic return=64.50012969970703
global step=15744, episodic return=140.4214630126953
global step=15840, episodic return=39.35034942626953
global step=15936, episodic return=34.36545181274414
global step=15936, episodic return=23.803417205810547
global step=16192, episodic return=50.7562370300293
global step=16224, episodic return=54.4411506652832
global step=16288, episodic return=109.31510162353516
global step=16288, episodic return=38.94330978393555
global step=16384, episodic return=180.8533172607422
global step=16384, episodic return=141.0339813232422
global step=16416, episodic return=35.105918884277344
global step=16416, episodic return=86.62913513183594
global step=16480, episodic return=177.15011596679688
global step=16512, episodic return=129.43296813964844
global step=16576, episodic return=24.43910026550293
global step=16576, episodic return=95.63927459716797
global step=16704, episodic return=31.26955795288086
global step=16768, episodic return=15.262085914611816
global step=16832, episodic return=96.78340148925781
global step=16864, episodic return=78.05693054199219
global step=16896, episodic return=64.94746398925781
global step=16896, episodic return=21.701385498046875
global step=16960, episodic return=42.25667953491211
global step=17024, episodic return=213.04197692871094
global step=17152, episodic return=54.94086456298828
global step=17312, episodic return=36.85506820678711
global step=17312, episodic return=42.59349060058594
global step=17472, episodic return=68.6501235961914
global step=17536, episodic return=92.11872863769531
global step=17568, episodic return=70.33617401123047
global step=17568, episodic return=44.85753631591797
global step=17632, episodic return=43.46223068237305
global step=17760, episodic return=40.02094268798828
global step=17760, episodic return=87.83501434326172
global step=17856, episodic return=113.90843963623047
global step=17984, episodic return=37.12074279785156
global step=18016, episodic return=39.530738830566406
global step=18048, episodic return=27.48447608947754
global step=18080, episodic return=38.41710662841797
global step=18176, episodic return=41.7576789855957
global step=18336, episodic return=87.10462951660156
global step=18560, episodic return=18.117298126220703
global step=18592, episodic return=14.791271209716797
global step=18624, episodic return=35.19884490966797
global step=18688, episodic return=137.78311157226562
global step=18720, episodic return=54.23662567138672
global step=18752, episodic return=98.47018432617188
global step=18784, episodic return=82.90489959716797
global step=18848, episodic return=87.83367919921875
global step=18848, episodic return=43.71638870239258
global step=19072, episodic return=86.83180236816406
global step=19136, episodic return=63.438453674316406
global step=19232, episodic return=369.7326965332031
global step=19296, episodic return=58.229522705078125
global step=19296, episodic return=51.14342498779297
global step=19456, episodic return=96.10050964355469
global step=19648, episodic return=36.263916015625
global step=19648, episodic return=260.637451171875
global step=19872, episodic return=150.4412841796875
global step=20032, episodic return=39.71614074707031
global step=20064, episodic return=254.5509796142578
global step=20096, episodic return=46.8624267578125
global step=20512, episodic return=53.25698471069336
global step=20576, episodic return=43.55044174194336
global step=20896, episodic return=37.31241989135742
global step=20896, episodic return=30.270404815673828
global step=20960, episodic return=49.27782440185547
global step=20992, episodic return=186.4110565185547
global step=21056, episodic return=64.64241027832031
global step=21056, episodic return=58.58753967285156
global step=21152, episodic return=44.09342575073242
global step=21184, episodic return=118.1541519165039
global step=21216, episodic return=99.29737854003906
global step=21248, episodic return=87.70950317382812
global step=21440, episodic return=84.98958587646484
global step=21504, episodic return=215.2576904296875
global step=21600, episodic return=46.97472381591797
global step=21696, episodic return=144.25125122070312
