Algorithm,CartPole,Acrobot,walker2d,halfcheetah,hopper,humanoid,reacher,pusher,inverted_double_pendulum,Slowdown vs Vanilla
CG,47.22 ± 0.34,47.11 ± 0.32,530.86 ± 2.36,1308.45 ± 4.86,500.09 ± 1.33,962.45 ± 4.10,383.81 ± 0.41,3165.81 ± 6.32,455.83 ± 104.73,2.30x
Nested,26.08 ± 0.20,27.96 ± 0.28,361.63 ± 2.28,1138.54 ± 5.25,327.13 ± 1.47,775.13 ± 2.30,216.37 ± 1.08,2462.84 ± 887.28,217.89 ± 2.53,1.10x
